LLM Generated Merchant,LLM
CIBC International Bank,ChatGPT-4o
Arby's USA Restaurant,ChatGPT-4o
Home Depot International,ChatGPT-4o
Burger King Store Miami,ChatGPT-4o
BP Station Vancouver,ChatGPT-4o
eBay US Accessories,ChatGPT-4o
Landmark Theatres Global,ChatGPT-4o
Dunkin' Donuts International Store,ChatGPT-4o
Square International Services,ChatGPT-4o
Lyft Ride USA,ChatGPT-4o
Bank of Montreal International,ChatGPT-4o
Panda Express Canada,ChatGPT-4o
